Food;Sodium_per_portion;Price_per_portion;Calories_per_portion;Group;Meal;Group_serving_per_portion
Almonds;1;2.15;576.0;Nuts;Lunch;0.25
Brocoli;11;0.17;11.33;Vegetables;Lunch;1.0
Brown_rice;5;0.69;359.0;Grains;Lunch;0.5
Cantaloupe_chunks;26;2.3;55.25;Fruits;Lunch;2.0
Carrots;84;0.15;49.91;Vegetables;Dinner;2.0
Cheddar;202;0.4;110.3;Dairy;Dinner;0.5
Chicken;179;0.91;130.43;Meat;Dinner;3.0
Cod;70;2.1;67.38;Meat;Lunch;3.0
Cucumber_slice;1;0.11;3.06;Vegetables;Lunch;1.0
Green_peas;115;0.18;47.74;Vegetables;Lunch;2.0
Instant_oatmeal;54;0.41;150.0;Grains;Breakfast;1.0
Low_fat_milk;107;0.01;47.0;Dairy;Breakfast;1.0
Margarine;26;0.16;72.43;Fats;Lunch;1.0
Medium_apple;1;0.27;52.0;Fruits;Lunch;1.0
Medium_banana;1;0.2;105.0;Fruits;Breakfast;1.0
Medium_orange;1;0.21;47.0;Fruits;Breakfast;1.0
Medium_peach;1;0.3;39.0;Fruits;Dinner;1.0
Olive_oil;0;0.01;8.28;Fats;Dinner;1.0
Parmesan;287;1.55;180.27;Dairy;Dinner;0.5
Potato;5;0.18;5.0;Vegetables;Dinner;1.0
Roast_beef;26;0.16;4.44;Meat;Dinner;2.0
Romane_lettuce;1;0.01;0.54;Vegetables;Lunch;0.25
Slice_whole_wheat_bread;149;0.23;86.79;Grains;Lunch;1.0
Spaguetti;1;0.2;361.0;Grains;Dinner;2.0
Spinach;92;1.16;26.78;Vegetables;Lunch;1.0
Sunflower_seeds;1;0.07;62.22;Nuts;Breakfast;0.5
Tomato_sauce;479;0.87;91.81;Vegetables;Dinner;1.5
Tomato_slice;2;0.18;3.89;Vegetables;Lunch;0.5
Tuna;171;0.75;52.16;Meat;Lunch;3.0
Turkey_breast;48;0.15;8.16;Meat;Lunch;3.0
Yogurt;173;0.26;139.73;Dairy;Lunch;1.0
